agence_id,nom_agence,ville,code_postal,departement,region,date_ouverture,effectif,categorie_agence
A001,Bordeaux Centre,Bordeaux,33000,Gironde,Nouvelle-Aquitaine,2003-02-27,21,Périurbaine
A002,Bordeaux Lac,Bordeaux,33300,Gironde,Nouvelle-Aquitaine,1995-08-03,25,Urbaine
A003,Mérignac,Mérignac,33700,Gironde,Nouvelle-Aquitaine,2004-01-17,7,Urbaine
A004,Pessac,Pessac,33600,Gironde,Nouvelle-Aquitaine,2003-05-17,26,Rurale
A005,Talence,Talence,33400,Gironde,Nouvelle-Aquitaine,1999-09-07,10,Périurbaine
A006,Libourne,Libourne,33500,Gironde,Nouvelle-Aquitaine,2004-01-18,13,Urbaine
A007,Arcachon,Arcachon,33120,Gironde,Nouvelle-Aquitaine,2011-07-31,7,Rurale
A008,Langon,Langon,33210,Gironde,Nouvelle-Aquitaine,2000-01-25,12,Périurbaine
A009,Pau Centre,Pau,64000,Pyrénées-Atlantiques,Nouvelle-Aquitaine,2012-04-22,15,Urbaine
A010,Bayonne,Bayonne,64100,Pyrénées-Atlantiques,Nouvelle-Aquitaine,2016-05-08,26,Rurale
A011,Biarritz,Biarritz,64200,Pyrénées-Atlantiques,Nouvelle-Aquitaine,2015-05-31,17,Périurbaine
A012,Anglet,Anglet,64600,Pyrénées-Atlantiques,Nouvelle-Aquitaine,2015-12-01,22,Urbaine
A013,Orthez,Orthez,64300,Pyrénées-Atlantiques,Nouvelle-Aquitaine,2011-05-28,24,Périurbaine
A014,Oloron,Oloron-Sainte-Marie,64400,Pyrénées-Atlantiques,Nouvelle-Aquitaine,2010-06-10,20,Urbaine
A015,La Rochelle,La Rochelle,17000,Charente-Maritime,Nouvelle-Aquitaine,2004-02-01,23,Périurbaine
A016,Rochefort,Rochefort,17300,Charente-Maritime,Nouvelle-Aquitaine,1997-12-16,22,Urbaine
A017,Niort,Niort,79000,Deux-Sèvres,Nouvelle-Aquitaine,2009-04-23,27,Périurbaine
A018,Poitiers,Poitiers,86000,Vienne,Nouvelle-Aquitaine,2013-08-04,12,Urbaine
A019,Limoges,Limoges,87000,Haute-Vienne,Nouvelle-Aquitaine,2016-06-16,25,Rurale
A020,Brive,Brive-la-Gaillarde,19100,Corrèze,Nouvelle-Aquitaine,2014-09-02,25,Périurbaine
A021,Périgueux,Périgueux,24000,Dordogne,Nouvelle-Aquitaine,2009-08-21,18,Urbaine
A022,Bergerac,Bergerac,24100,Dordogne,Nouvelle-Aquitaine,2001-11-21,21,Urbaine
A023,Agen,Agen,47000,Lot-et-Garonne,Nouvelle-Aquitaine,1995-11-03,16,Périurbaine
A024,Mont-de-Marsan,Mont-de-Marsan,40000,Landes,Nouvelle-Aquitaine,2017-06-08,16,Urbaine
A025,Dax,Dax,40100,Landes,Nouvelle-Aquitaine,2015-01-07,26,Rurale
